forest_index,dataset,type,strategy,iteration,class,metric,value
0,oil,bagging,random,0,-1,precision,0.9625668449197861
0,oil,bagging,random,0,-1,recall,1.0
0,oil,bagging,random,0,-1,f1-score,0.9809264305177112
0,oil,bagging,random,0,1,precision,1.0
0,oil,bagging,random,0,1,recall,0.125
0,oil,bagging,random,0,1,f1-score,0.2222222222222222
0,oil,bagging,random,0,all,accuracy,0.9627659574468085
0,oil,bagging,random,0,all,precision,0.981283422459893
0,oil,bagging,random,0,all,recall,0.5625
0,oil,bagging,random,0,all,f1-score,0.6015743263699667
0,oil,bagging,random,0,all,auc,0.9503472222222223
0,oil,bagging,random,0,all,g-mean,0.3535533905932738
1,oil,bagging,random,1,-1,precision,0.9625668449197861
1,oil,bagging,random,1,-1,recall,1.0
1,oil,bagging,random,1,-1,f1-score,0.9809264305177112
1,oil,bagging,random,1,1,precision,1.0
1,oil,bagging,random,1,1,recall,0.125
1,oil,bagging,random,1,1,f1-score,0.2222222222222222
1,oil,bagging,random,1,all,accuracy,0.9627659574468085
1,oil,bagging,random,1,all,precision,0.981283422459893
1,oil,bagging,random,1,all,recall,0.5625
1,oil,bagging,random,1,all,f1-score,0.6015743263699667
1,oil,bagging,random,1,all,auc,0.9430555555555555
1,oil,bagging,random,1,all,g-mean,0.3535533905932738
2,oil,bagging,random,2,-1,precision,0.9625668449197861
2,oil,bagging,random,2,-1,recall,1.0
2,oil,bagging,random,2,-1,f1-score,0.9809264305177112
2,oil,bagging,random,2,1,precision,1.0
2,oil,bagging,random,2,1,recall,0.125
2,oil,bagging,random,2,1,f1-score,0.2222222222222222
2,oil,bagging,random,2,all,accuracy,0.9627659574468085
2,oil,bagging,random,2,all,precision,0.981283422459893
2,oil,bagging,random,2,all,recall,0.5625
2,oil,bagging,random,2,all,f1-score,0.6015743263699667
2,oil,bagging,random,2,all,auc,0.95
2,oil,bagging,random,2,all,g-mean,0.3535533905932738
3,oil,bagging,random,3,-1,precision,0.9625668449197861
3,oil,bagging,random,3,-1,recall,1.0
3,oil,bagging,random,3,-1,f1-score,0.9809264305177112
3,oil,bagging,random,3,1,precision,1.0
3,oil,bagging,random,3,1,recall,0.125
3,oil,bagging,random,3,1,f1-score,0.2222222222222222
3,oil,bagging,random,3,all,accuracy,0.9627659574468085
3,oil,bagging,random,3,all,precision,0.981283422459893
3,oil,bagging,random,3,all,recall,0.5625
3,oil,bagging,random,3,all,f1-score,0.6015743263699667
3,oil,bagging,random,3,all,auc,0.9534722222222222
3,oil,bagging,random,3,all,g-mean,0.3535533905932738
4,oil,bagging,random,4,-1,precision,0.967741935483871
4,oil,bagging,random,4,-1,recall,1.0
4,oil,bagging,random,4,-1,f1-score,0.9836065573770492
4,oil,bagging,random,4,1,precision,1.0
4,oil,bagging,random,4,1,recall,0.25
4,oil,bagging,random,4,1,f1-score,0.4
4,oil,bagging,random,4,all,accuracy,0.9680851063829787
4,oil,bagging,random,4,all,precision,0.9838709677419355
4,oil,bagging,random,4,all,recall,0.625
4,oil,bagging,random,4,all,f1-score,0.6918032786885246
4,oil,bagging,random,4,all,auc,0.9770833333333333
4,oil,bagging,random,4,all,g-mean,0.5
5,oil,bagging,random,5,-1,precision,0.9625668449197861
5,oil,bagging,random,5,-1,recall,1.0
5,oil,bagging,random,5,-1,f1-score,0.9809264305177112
5,oil,bagging,random,5,1,precision,1.0
5,oil,bagging,random,5,1,recall,0.125
5,oil,bagging,random,5,1,f1-score,0.2222222222222222
5,oil,bagging,random,5,all,accuracy,0.9627659574468085
5,oil,bagging,random,5,all,precision,0.981283422459893
5,oil,bagging,random,5,all,recall,0.5625
5,oil,bagging,random,5,all,f1-score,0.6015743263699667
5,oil,bagging,random,5,all,auc,0.9802083333333333
5,oil,bagging,random,5,all,g-mean,0.3535533905932738
6,oil,bagging,random,6,-1,precision,0.9625668449197861
6,oil,bagging,random,6,-1,recall,1.0
6,oil,bagging,random,6,-1,f1-score,0.9809264305177112
6,oil,bagging,random,6,1,precision,1.0
6,oil,bagging,random,6,1,recall,0.125
6,oil,bagging,random,6,1,f1-score,0.2222222222222222
6,oil,bagging,random,6,all,accuracy,0.9627659574468085
6,oil,bagging,random,6,all,precision,0.981283422459893
6,oil,bagging,random,6,all,recall,0.5625
6,oil,bagging,random,6,all,f1-score,0.6015743263699667
6,oil,bagging,random,6,all,auc,0.98125
6,oil,bagging,random,6,all,g-mean,0.3535533905932738
7,oil,bagging,random,7,-1,precision,0.9625668449197861
7,oil,bagging,random,7,-1,recall,1.0
7,oil,bagging,random,7,-1,f1-score,0.9809264305177112
7,oil,bagging,random,7,1,precision,1.0
7,oil,bagging,random,7,1,recall,0.125
7,oil,bagging,random,7,1,f1-score,0.2222222222222222
7,oil,bagging,random,7,all,accuracy,0.9627659574468085
7,oil,bagging,random,7,all,precision,0.981283422459893
7,oil,bagging,random,7,all,recall,0.5625
7,oil,bagging,random,7,all,f1-score,0.6015743263699667
7,oil,bagging,random,7,all,auc,0.9760416666666667
7,oil,bagging,random,7,all,g-mean,0.3535533905932738
8,oil,bagging,random,8,-1,precision,0.9625668449197861
8,oil,bagging,random,8,-1,recall,1.0
8,oil,bagging,random,8,-1,f1-score,0.9809264305177112
8,oil,bagging,random,8,1,precision,1.0
8,oil,bagging,random,8,1,recall,0.125
8,oil,bagging,random,8,1,f1-score,0.2222222222222222
8,oil,bagging,random,8,all,accuracy,0.9627659574468085
8,oil,bagging,random,8,all,precision,0.981283422459893
8,oil,bagging,random,8,all,recall,0.5625
8,oil,bagging,random,8,all,f1-score,0.6015743263699667
8,oil,bagging,random,8,all,auc,0.9541666666666667
8,oil,bagging,random,8,all,g-mean,0.3535533905932738
9,oil,bagging,random,9,-1,precision,0.967741935483871
9,oil,bagging,random,9,-1,recall,1.0
9,oil,bagging,random,9,-1,f1-score,0.9836065573770492
9,oil,bagging,random,9,1,precision,1.0
9,oil,bagging,random,9,1,recall,0.25
9,oil,bagging,random,9,1,f1-score,0.4
9,oil,bagging,random,9,all,accuracy,0.9680851063829787
9,oil,bagging,random,9,all,precision,0.9838709677419355
9,oil,bagging,random,9,all,recall,0.625
9,oil,bagging,random,9,all,f1-score,0.6918032786885246
9,oil,bagging,random,9,all,auc,0.9697916666666667
9,oil,bagging,random,9,all,g-mean,0.5
10,oil,bagging,random,10,-1,precision,0.9625668449197861
10,oil,bagging,random,10,-1,recall,1.0
10,oil,bagging,random,10,-1,f1-score,0.9809264305177112
10,oil,bagging,random,10,1,precision,1.0
10,oil,bagging,random,10,1,recall,0.125
10,oil,bagging,random,10,1,f1-score,0.2222222222222222
10,oil,bagging,random,10,all,accuracy,0.9627659574468085
10,oil,bagging,random,10,all,precision,0.981283422459893
10,oil,bagging,random,10,all,recall,0.5625
10,oil,bagging,random,10,all,f1-score,0.6015743263699667
10,oil,bagging,random,10,all,auc,0.9736111111111111
10,oil,bagging,random,10,all,g-mean,0.3535533905932738
11,oil,bagging,random,11,-1,precision,0.967741935483871
11,oil,bagging,random,11,-1,recall,1.0
11,oil,bagging,random,11,-1,f1-score,0.9836065573770492
11,oil,bagging,random,11,1,precision,1.0
11,oil,bagging,random,11,1,recall,0.25
11,oil,bagging,random,11,1,f1-score,0.4
11,oil,bagging,random,11,all,accuracy,0.9680851063829787
11,oil,bagging,random,11,all,precision,0.9838709677419355
11,oil,bagging,random,11,all,recall,0.625
11,oil,bagging,random,11,all,f1-score,0.6918032786885246
11,oil,bagging,random,11,all,auc,0.9625
11,oil,bagging,random,11,all,g-mean,0.5
12,oil,bagging,random,12,-1,precision,0.9625668449197861
12,oil,bagging,random,12,-1,recall,1.0
12,oil,bagging,random,12,-1,f1-score,0.9809264305177112
12,oil,bagging,random,12,1,precision,1.0
12,oil,bagging,random,12,1,recall,0.125
12,oil,bagging,random,12,1,f1-score,0.2222222222222222
12,oil,bagging,random,12,all,accuracy,0.9627659574468085
12,oil,bagging,random,12,all,precision,0.981283422459893
12,oil,bagging,random,12,all,recall,0.5625
12,oil,bagging,random,12,all,f1-score,0.6015743263699667
12,oil,bagging,random,12,all,auc,0.9513888888888888
12,oil,bagging,random,12,all,g-mean,0.3535533905932738
13,oil,bagging,random,13,-1,precision,0.9625668449197861
13,oil,bagging,random,13,-1,recall,1.0
13,oil,bagging,random,13,-1,f1-score,0.9809264305177112
13,oil,bagging,random,13,1,precision,1.0
13,oil,bagging,random,13,1,recall,0.125
13,oil,bagging,random,13,1,f1-score,0.2222222222222222
13,oil,bagging,random,13,all,accuracy,0.9627659574468085
13,oil,bagging,random,13,all,precision,0.981283422459893
13,oil,bagging,random,13,all,recall,0.5625
13,oil,bagging,random,13,all,f1-score,0.6015743263699667
13,oil,bagging,random,13,all,auc,0.9479166666666667
13,oil,bagging,random,13,all,g-mean,0.3535533905932738
14,oil,bagging,random,14,-1,precision,0.9625668449197861
14,oil,bagging,random,14,-1,recall,1.0
14,oil,bagging,random,14,-1,f1-score,0.9809264305177112
14,oil,bagging,random,14,1,precision,1.0
14,oil,bagging,random,14,1,recall,0.125
14,oil,bagging,random,14,1,f1-score,0.2222222222222222
14,oil,bagging,random,14,all,accuracy,0.9627659574468085
14,oil,bagging,random,14,all,precision,0.981283422459893
14,oil,bagging,random,14,all,recall,0.5625
14,oil,bagging,random,14,all,f1-score,0.6015743263699667
14,oil,bagging,random,14,all,auc,0.9614583333333333
14,oil,bagging,random,14,all,g-mean,0.3535533905932738
15,oil,bagging,random,15,-1,precision,0.9625668449197861
15,oil,bagging,random,15,-1,recall,1.0
15,oil,bagging,random,15,-1,f1-score,0.9809264305177112
15,oil,bagging,random,15,1,precision,1.0
15,oil,bagging,random,15,1,recall,0.125
15,oil,bagging,random,15,1,f1-score,0.2222222222222222
15,oil,bagging,random,15,all,accuracy,0.9627659574468085
15,oil,bagging,random,15,all,precision,0.981283422459893
15,oil,bagging,random,15,all,recall,0.5625
15,oil,bagging,random,15,all,f1-score,0.6015743263699667
15,oil,bagging,random,15,all,auc,0.9663194444444445
15,oil,bagging,random,15,all,g-mean,0.3535533905932738
16,oil,bagging,random,16,-1,precision,0.9625668449197861
16,oil,bagging,random,16,-1,recall,1.0
16,oil,bagging,random,16,-1,f1-score,0.9809264305177112
16,oil,bagging,random,16,1,precision,1.0
16,oil,bagging,random,16,1,recall,0.125
16,oil,bagging,random,16,1,f1-score,0.2222222222222222
16,oil,bagging,random,16,all,accuracy,0.9627659574468085
16,oil,bagging,random,16,all,precision,0.981283422459893
16,oil,bagging,random,16,all,recall,0.5625
16,oil,bagging,random,16,all,f1-score,0.6015743263699667
16,oil,bagging,random,16,all,auc,0.9027777777777778
16,oil,bagging,random,16,all,g-mean,0.3535533905932738
17,oil,bagging,random,17,-1,precision,0.9625668449197861
17,oil,bagging,random,17,-1,recall,1.0
17,oil,bagging,random,17,-1,f1-score,0.9809264305177112
17,oil,bagging,random,17,1,precision,1.0
17,oil,bagging,random,17,1,recall,0.125
17,oil,bagging,random,17,1,f1-score,0.2222222222222222
